,count,state,lat,long,date,urban
6645,16,US-FL,30.4514143,-84.2860413,2018-04-13,1
6646,2,US-FL,29.2070162,-83.066597,2018-02-05,0
6647,1,US-FL,29.2070162,-83.066597,2018-02-04,0
6648,1,US-FL,29.1457521,-83.0417061,2018-02-05,0
6649,6,US-FL,29.3623064,-82.73348809999999,2018-02-04,0
6650,1,US-FL,29.1354114,-83.0340372,2018-02-10,0
6651,9,US-FL,29.2294892,-83.0195618,2018-02-03,0
6652,1,US-FL,29.2294892,-83.0195618,2018-02-04,0
6653,1,US-FL,29.2294892,-83.0195618,2018-02-04,0
6654,3,US-FL,29.2070162,-83.066597,2018-02-04,0
6655,2,US-FL,29.1457521,-83.0417061,2018-02-04,0
6656,2,US-FL,29.1457521,-83.0417061,2018-02-04,0
6657,6,US-FL,29.3623064,-82.73348809999999,2018-02-04,0
6658,1,US-FL,29.1354114,-83.0340372,2018-02-03,0
6659,1,US-FL,29.5901957,-82.9330873,2018-02-17,0
6660,3,US-FL,29.2070162,-83.066597,2018-02-04,0
6661,1,US-FL,29.2070162,-83.066597,2018-02-04,0
6662,1,US-FL,29.4986,-82.97200000000001,2018-02-09,0
6663,1,US-FL,29.376265999999998,-83.04352800000001,2018-02-21,0
6664,2,US-FL,29.135762800000002,-83.02930359999999,2018-02-20,0
6665,12,US-FL,29.2294892,-83.0195618,2018-02-07,0
6666,2,US-FL,29.100089500000003,-83.0718327,2018-02-10,0
6667,1,US-FL,29.4986,-82.97200000000001,2018-02-09,0
6668,1,US-FL,29.2294892,-83.0195618,2018-02-04,0
6669,12,US-FL,29.2294892,-83.0195618,2018-02-07,0
6670,1,US-FL,29.143606300000002,-83.0323505,2018-02-05,0
6671,1,US-FL,29.2233828,-82.62259949999999,2018-02-19,0
6672,1,US-FL,29.376265999999998,-83.04352800000001,2018-02-21,0
6673,2,US-FL,29.2070162,-83.066597,2018-02-05,0
6674,1,US-FL,29.1354114,-83.0340372,2018-02-05,0
6675,1,US-FL,29.1354114,-83.0340372,2018-02-03,0
6676,1,US-FL,29.1354114,-83.0340372,2018-02-05,0
6677,1,US-FL,29.143606300000002,-83.0323505,2018-02-05,0
6678,3,US-FL,29.1642664,-83.02711490000002,2018-02-05,0
6679,4,US-FL,29.136778399999997,-83.0371939,2018-03-25,0
6680,1,US-FL,29.475662,-82.72903000000001,2018-03-18,0
6681,1,US-FL,29.1354114,-83.0340372,2018-04-13,0
6682,1,US-FL,30.276714799999997,-84.99038990000001,2018-03-09,0
6683,1,US-FL,30.276714799999997,-84.99038990000001,2018-03-15,0
6684,1,US-FL,30.276714799999997,-84.99038990000001,2018-03-16,0
6685,2,US-FL,30.276714799999997,-84.99038990000001,2018-03-17,0
6686,1,US-FL,30.276714799999997,-84.99038990000001,2018-03-10,0
6687,2,US-FL,30.217952,-84.99828000000001,2018-04-06,0
6688,2,US-FL,30.217952,-84.99828000000001,2018-04-06,0
6689,10,US-FL,30.3781141,-83.7683058,2018-02-18,0
6690,20,US-FL,30.500612300000004,-83.6967874,2018-02-18,0
